pipeline,detector,candidate_id,parameters,policy_id,policy_semantics,selection_policy,healthy_windows,ambiguous_windows,anomalous_windows,pr_auc,roc_auc,selection_mean_pr_auc,selection_mean_roc_auc
p0_global,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.2990655652299462,0.6267353214958556,0.30029259752787624,0.6379131942617468
p0_global,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.15805714767896395,0.7200998524447678,0.30029259752787624,0.6379131942617468
p0_global,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.4134019031812417,0.6047921247826685,0.30029259752787624,0.6379131942617468
p0_global,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.31175555517997106,0.6597072693094641,0.30029259752787624,0.6379131942617468
p0_global,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.3187697722411552,0.797674564819246,0.4063244176027059,0.7311883738597221
p0_global,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.40626559514606586,0.7242108189336104,0.4063244176027059,0.7311883738597221
p0_global,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.3144221719890355,0.84535019101328,0.4063244176027059,0.7311883738597221
p0_global,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.49393788542089645,0.6716797378263099,0.4063244176027059,0.7311883738597221
p0_global,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.43610734097115944,0.7616247061377377,0.4063244176027059,0.7311883738597221
p0_global,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.5743907417722505,0.9232144818496348,0.6105321246290681,0.8526208596239865
p0_global,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.6128873888450597,0.8540640100647153,0.6105321246290681,0.8526208596239865
p0_global,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.6168499238119345,0.9596676975319871,0.6105321246290681,0.8526208596239865
p0_global,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.6443182432698944,0.7805840869576094,0.6105321246290681,0.8526208596239865
