candidate_id,detector_id,threshold_context,threshold_rule_id,ewma_id,ewma_alpha,persistence,minimum_engine_detection_coverage,mean_engine_detection_coverage,worst_false_positive_alerted_endpoints_per_1000,worst_false_alert_events_per_1000,worst_percent_engines_with_healthy_false_alert,median_policy_median_detection_delay,median_policy_median_lead_cycles,feasible
lof__global__quantile_0.990__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.990,alpha_0.20,0.2,8,13.461538461538462,43.58974358974359,188.77983763479946,6.664243305464679,86.53846153846153,9.0,25.0,False
lof__global__quantile_0.990__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.990,alpha_0.50,0.5,1,0.0,25.0,312.6135950563432,19.525801952580196,100.0,,,False
lof__global__quantile_0.990__ewma_alpha_0.50__persistence_3,lof,global,quantile_0.990,alpha_0.50,0.5,3,0.0,28.205128205128204,279.65588270931784,12.97071129707113,100.0,,,False
lof__global__quantile_0.990__ewma_alpha_0.50__persistence_5,lof,global,quantile_0.990,alpha_0.50,0.5,5,3.8461538461538463,30.76923076923077,255.66460680964497,10.320781032078104,98.07692307692308,6.0,25.0,False
lof__global__quantile_0.990__ewma_alpha_0.50__persistence_8,lof,global,quantile_0.990,alpha_0.50,0.5,8,3.8461538461538463,33.333333333333336,226.5842723857991,8.966436447352478,98.07692307692308,8.0,23.0,False
lof__global__quantile_0.990__ewma_alpha_0.80__persistence_1,lof,global,quantile_0.990,alpha_0.80,0.8,1,0.0,23.076923076923077,343.9961226220768,35.98326359832636,100.0,,,False
lof__global__quantile_0.990__ewma_alpha_0.80__persistence_3,lof,global,quantile_0.990,alpha_0.80,0.8,3,0.0,26.923076923076923,290.0763358778626,16.596931659693166,100.0,,,False
lof__global__quantile_0.990__ewma_alpha_0.80__persistence_5,lof,global,quantile_0.990,alpha_0.80,0.8,5,1.9230769230769231,29.48717948717949,259.66315279292377,12.133891213389122,98.07692307692308,5.0,26.0,False
lof__global__quantile_0.990__ewma_alpha_0.80__persistence_8,lof,global,quantile_0.990,alpha_0.80,0.8,8,3.8461538461538463,33.333333333333336,227.67478492669332,8.966436447352478,98.07692307692308,7.0,23.0,False
lof__global__quantile_0.995__ewma_off__persistence_1,lof,global,quantile_0.995,off,,1,1.9230769230769231,44.87179487179487,205.25869380831213,32.95771234702532,100.0,4.0,33.0,False
lof__global__quantile_0.995__ewma_off__persistence_3,lof,global,quantile_0.995,off,,3,1.9230769230769231,47.43589743589744,159.6995032109536,8.966436447352478,98.07692307692308,7.0,30.0,False
lof__global__quantile_0.995__ewma_off__persistence_5,lof,global,quantile_0.995,off,,5,3.8461538461538463,50.641025641025635,142.97831091724223,7.270083605961468,96.15384615384616,8.0,29.5,False
lof__global__quantile_0.995__ewma_off__persistence_8,lof,global,quantile_0.995,off,,8,17.307692307692307,56.41025641025641,122.74324488064946,5.694898824669817,82.6923076923077,12.0,25.0,False
lof__global__quantile_0.995__ewma_alpha_0.20__persistence_1,lof,global,quantile_0.995,alpha_0.20,0.2,1,5.769230769230769,50.0,144.1899915182358,7.3912516660608265,94.23076923076923,9.0,28.0,False
lof__global__quantile_0.995__ewma_alpha_0.20__persistence_3,lof,global,quantile_0.995,alpha_0.20,0.2,3,13.461538461538462,53.84615384615385,130.25566460680963,5.937234944868533,86.53846153846153,10.0,28.0,False
lof__global__quantile_0.995__ewma_alpha_0.20__persistence_5,lof,global,quantile_0.995,alpha_0.20,0.2,5,19.23076923076923,57.6923076923077,118.86586695747,5.452562704471101,80.76923076923077,10.5,28.0,False
lof__global__quantile_0.995__ewma_alpha_0.20__persistence_8,lof,global,quantile_0.995,alpha_0.20,0.2,8,23.076923076923077,62.82051282051282,102.87168302435478,4.96789046407367,78.84615384615384,12.0,28.0,False
lof__global__quantile_0.995__ewma_alpha_0.50__persistence_1,lof,global,quantile_0.995,alpha_0.50,0.5,1,1.9230769230769231,43.58974358974359,179.32872894704957,13.086150490730644,98.07692307692308,5.0,31.0,False
lof__global__quantile_0.995__ewma_alpha_0.50__persistence_3,lof,global,quantile_0.995,alpha_0.50,0.5,3,3.8461538461538463,47.43589743589744,156.67030170846965,7.512419726160184,96.15384615384616,8.0,29.0,False
lof__global__quantile_0.995__ewma_alpha_0.50__persistence_5,lof,global,quantile_0.995,alpha_0.50,0.5,5,5.769230769230769,50.64102564102564,142.1301344965467,7.027747485762753,94.23076923076923,8.0,29.5,False
lof__global__quantile_0.995__ewma_alpha_0.50__persistence_8,lof,global,quantile_0.995,alpha_0.50,0.5,8,17.307692307692307,55.12820512820513,122.50090876045074,5.573730764570459,84.61538461538461,11.0,25.0,False
lof__global__quantile_0.995__ewma_alpha_0.80__persistence_1,lof,global,quantile_0.995,alpha_0.80,0.8,1,1.9230769230769231,44.230769230769226,194.717072579668,23.021931418877983,100.0,4.0,32.0,False
lof__global__quantile_0.995__ewma_alpha_0.80__persistence_3,lof,global,quantile_0.995,alpha_0.80,0.8,3,1.9230769230769231,46.794871794871796,160.18417545135102,8.602932267054404,98.07692307692308,7.0,30.0,False
lof__global__quantile_0.995__ewma_alpha_0.80__persistence_5,lof,global,quantile_0.995,alpha_0.80,0.8,5,3.8461538461538463,50.0,143.70531927783836,7.148915545862111,96.15384615384616,9.0,29.0,False
lof__global__quantile_0.995__ewma_alpha_0.80__persistence_8,lof,global,quantile_0.995,alpha_0.80,0.8,8,17.307692307692307,55.769230769230774,123.71258936144433,5.573730764570459,82.6923076923077,12.0,25.0,False
lof__global__mean_plus_1.0_std__ewma_off__persistence_1,lof,global,mean_plus_1.0_std,off,,1,0.0,3.8461538461538463,818.8537501514601,121.81069958847736,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_off__persistence_3,lof,global,mean_plus_1.0_std,off,,3,0.0,7.051282051282051,670.5440445898461,56.13168724279836,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_off__persistence_5,lof,global,mean_plus_1.0_std,off,,5,0.0,9.615384615384615,594.2081667272507,34.23868312757202,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_off__persistence_8,lof,global,mean_plus_1.0_std,off,,8,0.0,11.538461538461538,519.5686417060463,24.855967078189302,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.20__persistence_1,lof,global,mean_plus_1.0_std,alpha_0.20,0.2,1,0.0,3.205128205128205,767.9631649097298,35.7201646090535,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.20__persistence_3,lof,global,mean_plus_1.0_std,alpha_0.20,0.2,3,0.0,5.128205128205129,718.4054283290925,26.008230452674898,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.20__persistence_5,lof,global,mean_plus_1.0_std,alpha_0.20,0.2,5,0.0,5.128205128205129,680.1163213376954,21.234567901234566,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.20__persistence_8,lof,global,mean_plus_1.0_std,alpha_0.20,0.2,8,0.0,7.051282051282051,633.1031140191445,17.448559670781894,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.50__persistence_1,lof,global,mean_plus_1.0_std,alpha_0.50,0.5,1,0.0,3.8461538461538463,790.5004240882104,66.83127572016461,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.50__persistence_3,lof,global,mean_plus_1.0_std,alpha_0.50,0.5,3,0.0,5.769230769230769,703.1382527565734,40.49382716049383,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.50__persistence_5,lof,global,mean_plus_1.0_std,alpha_0.50,0.5,5,0.0,7.051282051282051,646.1892645098752,29.79423868312757,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.50__persistence_8,lof,global,mean_plus_1.0_std,alpha_0.50,0.5,8,0.0,9.615384615384615,581.6066884769175,23.045267489711936,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.80__persistence_1,lof,global,mean_plus_1.0_std,alpha_0.80,0.8,1,0.0,3.8461538461538463,810.4931540046044,100.57613168724279,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.80__persistence_3,lof,global,mean_plus_1.0_std,alpha_0.80,0.8,3,0.0,5.769230769230769,685.6900521022659,52.016460905349795,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.80__persistence_5,lof,global,mean_plus_1.0_std,alpha_0.80,0.8,5,0.0,8.333333333333334,614.5644008239428,33.251028806584365,100.0,,,False
lof__global__mean_plus_1.0_std__ewma_alpha_0.80__persistence_8,lof,global,mean_plus_1.0_std,alpha_0.80,0.8,8,0.0,11.538461538461538,542.3482370047255,24.855967078189302,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_off__persistence_1,lof,global,mean_plus_1.5_std,off,,1,0.0,14.743589743589743,653.0958439355386,137.61316872427983,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_off__persistence_3,lof,global,mean_plus_1.5_std,off,,3,0.0,17.94871794871795,493.27517266448564,41.97530864197531,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_off__persistence_5,lof,global,mean_plus_1.5_std,off,,5,0.0,19.23076923076923,432.2064703744093,23.374485596707817,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_off__persistence_8,lof,global,mean_plus_1.5_std,off,,8,0.0,22.435897435897434,377.43850720949956,15.202231520223153,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.20__persistence_1,lof,global,mean_plus_1.5_std,alpha_0.20,0.2,1,0.0,10.897435897435898,509.87519689809767,26.83127572016461,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.20__persistence_3,lof,global,mean_plus_1.5_std,alpha_0.20,0.2,3,0.0,12.17948717948718,469.64740094511086,19.91769547325103,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.20__persistence_5,lof,global,mean_plus_1.5_std,alpha_0.20,0.2,5,0.0,13.46153846153846,438.0225372591785,15.802469135802468,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.20__persistence_8,lof,global,mean_plus_1.5_std,alpha_0.20,0.2,8,0.0,17.94871794871795,397.79474130619167,13.249651324965132,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.50__persistence_1,lof,global,mean_plus_1.5_std,alpha_0.50,0.5,1,0.0,12.17948717948718,570.7015630679753,59.25925925925926,100.0,,,False
