detector_id,threshold_context,threshold_rule_id,operating_mode,threshold,reference_count,reference_split,clipped
isolation_forest,global,quantile_0.950,global,0.9501687512408179,5037,train,False
isolation_forest,global,quantile_0.975,global,0.9751836410561843,5037,train,False
isolation_forest,global,quantile_0.990,global,0.9900734564224737,5037,train,False
isolation_forest,global,quantile_0.995,global,0.9950367282112369,5037,train,False
isolation_forest,global,mean_plus_1.0_std,global,0.7887743943415939,5037,train,False
isolation_forest,global,mean_plus_1.5_std,global,0.9331119587945034,5037,train,False
isolation_forest,global,mean_plus_2.0_std,global,1.0774495232474126,5037,train,False
isolation_forest,per_mode,quantile_0.900,0,0.9051022433988485,756,train,False
isolation_forest,per_mode,quantile_0.900,1,0.8777049831248759,768,train,False
isolation_forest,per_mode,quantile_0.900,2,0.9420289855072463,719,train,False
isolation_forest,per_mode,quantile_0.900,3,0.91324200913242,765,train,False
isolation_forest,per_mode,quantile_0.900,4,0.8993448481238833,747,train,False
isolation_forest,per_mode,quantile_0.900,5,0.8711534643637086,1282,train,False
isolation_forest,per_mode,quantile_0.950,0,0.9515584673416716,756,train,False
isolation_forest,per_mode,quantile_0.950,1,0.9402422076632917,768,train,False
isolation_forest,per_mode,quantile_0.950,2,0.9749851101846337,719,train,False
isolation_forest,per_mode,quantile_0.950,3,0.9541393686718285,765,train,False
isolation_forest,per_mode,quantile_0.950,4,0.9499702203692674,747,train,False
isolation_forest,per_mode,quantile_0.950,5,0.9295215405995633,1282,train,False
isolation_forest,per_mode,quantile_0.975,0,0.9767718880285885,756,train,False
isolation_forest,per_mode,quantile_0.975,1,0.9718086162398253,768,train,False
isolation_forest,per_mode,quantile_0.975,2,0.9876910859638673,719,train,False
isolation_forest,per_mode,quantile_0.975,3,0.97359539408378,765,train,False
isolation_forest,per_mode,quantile_0.975,4,0.9747865793130832,747,train,False
isolation_forest,per_mode,quantile_0.975,5,0.9624776652769506,1282,train,False
isolation_forest,per_mode,quantile_0.990,0,0.9884852094500695,756,train,False
isolation_forest,per_mode,quantile_0.990,1,0.9855072463768116,768,train,False
isolation_forest,per_mode,quantile_0.990,2,0.9952352590827874,719,train,False
isolation_forest,per_mode,quantile_0.990,3,0.9912646416517769,765,train,False
isolation_forest,per_mode,quantile_0.990,4,0.9870954933492158,747,train,False
isolation_forest,per_mode,quantile_0.990,5,0.98868374032162,1282,train,False
isolation_forest,per_mode,quantile_0.995,0,0.9940440738534843,756,train,False
isolation_forest,per_mode,quantile_0.995,1,0.9910661107802263,768,train,False
isolation_forest,per_mode,quantile_0.995,2,0.9972205677982926,719,train,False
isolation_forest,per_mode,quantile_0.995,3,0.9964264443120905,765,train,False
isolation_forest,per_mode,quantile_0.995,4,0.9974190986698431,747,train,False
isolation_forest,per_mode,quantile_0.995,5,0.9936470121103832,1282,train,False
isolation_forest,per_mode,mean_plus_1.0_std,0,0.8018608442539052,756,train,False
isolation_forest,per_mode,mean_plus_1.0_std,1,0.7599497539872208,768,train,False
isolation_forest,per_mode,mean_plus_1.0_std,2,0.8455485896998374,719,train,False
isolation_forest,per_mode,mean_plus_1.0_std,3,0.7959243606225608,765,train,False
isolation_forest,per_mode,mean_plus_1.0_std,4,0.7926500272870882,747,train,False
isolation_forest,per_mode,mean_plus_1.0_std,5,0.7486806484419448,1282,train,False
isolation_forest,per_mode,mean_plus_1.5_std,0,0.9495324451500295,756,train,False
isolation_forest,per_mode,mean_plus_1.5_std,1,0.907643640518585,768,train,False
isolation_forest,per_mode,mean_plus_1.5_std,2,0.9786866378380098,719,train,False
isolation_forest,per_mode,mean_plus_1.5_std,3,0.9348101117386439,765,train,False
isolation_forest,per_mode,mean_plus_1.5_std,4,0.9368728594564064,747,train,False
isolation_forest,per_mode,mean_plus_1.5_std,5,0.8930036004373552,1282,train,False
isolation_forest,per_mode,mean_plus_2.0_std,0,1.0972040460461538,756,train,False
isolation_forest,per_mode,mean_plus_2.0_std,1,1.0553375270499494,768,train,False
isolation_forest,per_mode,mean_plus_2.0_std,2,1.1118246859761824,719,train,False
isolation_forest,per_mode,mean_plus_2.0_std,3,1.073695862854727,765,train,False
isolation_forest,per_mode,mean_plus_2.0_std,4,1.0810956916257246,747,train,False
isolation_forest,per_mode,mean_plus_2.0_std,5,1.0373265524327655,1282,train,False
pca_reconstruction,global,quantile_0.900,global,0.9001389716100854,5037,train,False
pca_reconstruction,global,quantile_0.950,global,0.9501687512408179,5037,train,False
pca_reconstruction,global,quantile_0.975,global,0.9751836410561843,5037,train,False
pca_reconstruction,global,quantile_0.990,global,0.9900734564224737,5037,train,False
pca_reconstruction,global,quantile_0.995,global,0.9950367282112369,5037,train,False
pca_reconstruction,global,mean_plus_1.0_std,global,0.7887743943415939,5037,train,False
pca_reconstruction,global,mean_plus_1.5_std,global,0.9331119587945034,5037,train,False
pca_reconstruction,global,mean_plus_2.0_std,global,1.0774495232474126,5037,train,False
pca_reconstruction,per_mode,quantile_0.900,0,0.9326980345443716,756,train,False
pca_reconstruction,per_mode,quantile_0.900,1,0.8844550327575939,768,train,False
pca_reconstruction,per_mode,quantile_0.900,2,0.893190391105817,719,train,False
pca_reconstruction,per_mode,quantile_0.900,3,0.8947786380782211,765,train,False
pca_reconstruction,per_mode,quantile_0.900,4,0.9150287869763748,747,train,False
pca_reconstruction,per_mode,quantile_0.900,5,0.8749255509231686,1282,train,False
pca_reconstruction,per_mode,quantile_0.950,0,0.9660512209648601,756,train,False
pca_reconstruction,per_mode,quantile_0.950,1,0.9398451459201906,768,train,False
pca_reconstruction,per_mode,quantile_0.950,2,0.95096287472702,719,train,False
pca_reconstruction,per_mode,quantile_0.950,3,0.9402422076632917,765,train,False
pca_reconstruction,per_mode,quantile_0.950,4,0.9511614055985705,747,train,False
pca_reconstruction,per_mode,quantile_0.950,5,0.9358745284891801,1282,train,False
pca_reconstruction,per_mode,quantile_0.975,0,0.9861028389914632,756,train,False
pca_reconstruction,per_mode,quantile_0.975,1,0.965257097478658,768,train,False
pca_reconstruction,per_mode,quantile_0.975,2,0.9761762954139369,719,train,False
pca_reconstruction,per_mode,quantile_0.975,3,0.9757792336708359,765,train,False
pca_reconstruction,per_mode,quantile_0.975,4,0.9811395672027,747,train,False
pca_reconstruction,per_mode,quantile_0.975,5,0.9682350605519158,1282,train,False
pca_reconstruction,per_mode,quantile_0.990,0,0.9944411355965853,756,train,False
pca_reconstruction,per_mode,quantile_0.990,1,0.9833234067897558,768,train,False
pca_reconstruction,per_mode,quantile_0.990,2,0.9906690490371253,719,train,False
pca_reconstruction,per_mode,quantile_0.990,3,0.9872940242207663,765,train,False
pca_reconstruction,per_mode,quantile_0.990,4,0.9942426047250348,747,train,False
pca_reconstruction,per_mode,quantile_0.990,5,0.9843160611475085,1282,train,False
pca_reconstruction,per_mode,quantile_0.995,0,0.9974190986698431,756,train,False
pca_reconstruction,per_mode,quantile_0.995,1,0.9908675799086758,768,train,False
pca_reconstruction,per_mode,quantile_0.995,2,0.9948381973396864,719,train,False
pca_reconstruction,per_mode,quantile_0.995,3,0.9922572960095295,765,train,False
pca_reconstruction,per_mode,quantile_0.995,4,0.996624975183641,747,train,False
pca_reconstruction,per_mode,quantile_0.995,5,0.9932499503672821,1282,train,False
pca_reconstruction,per_mode,mean_plus_1.0_std,0,0.8630079462177718,756,train,False
pca_reconstruction,per_mode,mean_plus_1.0_std,1,0.7660724243244219,768,train,False
pca_reconstruction,per_mode,mean_plus_1.0_std,2,0.7794020889482618,719,train,False
pca_reconstruction,per_mode,mean_plus_1.0_std,3,0.786324924377352,765,train,False
pca_reconstruction,per_mode,mean_plus_1.0_std,4,0.7947675716340911,747,train,False
pca_reconstruction,per_mode,mean_plus_1.0_std,5,0.7473486484189722,1282,train,False
pca_reconstruction,per_mode,mean_plus_1.5_std,0,0.9962942591127696,756,train,False
pca_reconstruction,per_mode,mean_plus_1.5_std,1,0.9119454151577996,768,train,False
pca_reconstruction,per_mode,mean_plus_1.5_std,2,0.9170487254709965,719,train,False
pca_reconstruction,per_mode,mean_plus_1.5_std,3,0.931728644395346,765,train,False
pca_reconstruction,per_mode,mean_plus_1.5_std,4,0.9385633836912304,747,train,False
pca_reconstruction,per_mode,mean_plus_1.5_std,5,0.893477480100002,1282,train,False
pca_reconstruction,per_mode,mean_plus_2.0_std,0,1.1295805720077674,756,train,False
pca_reconstruction,per_mode,mean_plus_2.0_std,1,1.0578184059911773,768,train,False
pca_reconstruction,per_mode,mean_plus_2.0_std,2,1.0546953619937312,719,train,False
pca_reconstruction,per_mode,mean_plus_2.0_std,3,1.07713236441334,765,train,False
pca_reconstruction,per_mode,mean_plus_2.0_std,4,1.0823591957483696,747,train,False
pca_reconstruction,per_mode,mean_plus_2.0_std,5,1.0396063117810317,1282,train,False
lstm_calibrated_ensemble,global,quantile_0.900,global,0.9004698563960029,5037,train,False
lstm_calibrated_ensemble,global,quantile_0.950,global,0.9499702203692674,5037,train,False
lstm_calibrated_ensemble,global,quantile_0.975,global,0.9747865793130832,5037,train,False
lstm_calibrated_ensemble,global,quantile_0.990,global,0.9902058103368407,5037,train,False
lstm_calibrated_ensemble,global,quantile_0.995,global,0.9953014360399709,5037,train,False
lstm_calibrated_ensemble,global,mean_plus_1.0_std,global,0.7885424601083619,5037,train,False
lstm_calibrated_ensemble,global,mean_plus_1.5_std,global,0.9327639983228947,5037,train,False
lstm_calibrated_ensemble,global,mean_plus_2.0_std,global,1.0769855365374275,5037,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.900,0,0.9064919594997022,756,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.900,1,0.8927271524055325,768,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.900,2,0.9254185692541856,719,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.900,3,0.8976242472371121,765,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.900,4,0.8901462510753756,747,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.900,5,0.893455098934551,1282,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.950,0,0.954602607372113,756,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.950,1,0.9413672159354113,768,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.950,2,0.96605122096486,719,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.950,3,0.9440142942227516,765,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.950,4,0.944477532923036,747,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.950,5,0.9465951955529085,1282,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.975,0,0.9825292833035538,756,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.975,1,0.9710806697108066,768,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.975,2,0.9811395672027,719,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.975,3,0.9706174310105222,765,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.975,4,0.9739924558268811,747,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.975,5,0.9698233075243201,1282,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.990,0,0.9918602342664284,756,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.990,1,0.9860366620342798,768,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.990,2,0.9907352259943089,719,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.990,3,0.9953014360399709,765,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.990,4,0.98868374032162,747,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.990,5,0.9871616703063992,1282,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.995,0,0.9965587982264575,756,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.995,1,0.9908014029514923,768,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.995,2,0.9932499503672821,719,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.995,3,0.9972867447554762,765,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.995,4,0.992720534709814,747,train,False
lstm_calibrated_ensemble,per_mode,quantile_0.995,5,0.9947720203825029,1282,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.0_std,0,0.8055112520245611,756,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.0_std,1,0.7757458139811971,768,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.0_std,2,0.8100186547194637,719,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.0_std,3,0.7843035392811213,765,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.0_std,4,0.7714591321947467,747,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.0_std,5,0.7855513805192018,1282,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.5_std,0,0.9576730799031717,756,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.5_std,1,0.9181913505269763,768,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.5_std,2,0.9546263956362124,719,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.5_std,3,0.925988501856059,765,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.5_std,4,0.9148019497006837,747,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_1.5_std,5,0.9274187894604546,1282,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_2.0_std,0,1.1098349077817824,756,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_2.0_std,1,1.0606368870727554,768,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_2.0_std,2,1.0992341365529612,719,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_2.0_std,3,1.0676734644309969,765,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_2.0_std,4,1.0581447672066209,747,train,False
lstm_calibrated_ensemble,per_mode,mean_plus_2.0_std,5,1.0692861984017075,1282,train,False
