run_id,stage,pipeline,architecture_id,seed,epoch,development_loss,monitor_loss
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,40,0.5208695196763405,0.4800673903043999
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,41,0.5204953831375699,0.4801916730916727
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,42,0.5202237132870586,0.48068296070662536
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,43,0.5203161039417856,0.4804206481607578
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,44,0.5198635476587252,0.47996965130363195
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,45,0.5191545257517344,0.47996960771170954
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,46,0.5189816092312155,0.47999534911130404
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,47,0.5189055898474192,0.48091845018214624
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,48,0.5188294760117406,0.4801679539139695
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,49,0.5181171016459597,0.4798951275874983
fd002_lstm_v1_stage1_p1_k6_balanced_64x16_l1_seed42,stage1,p1_k6,balanced_64x16_l1,42,50,0.5176923694104386,0.4802655650943548
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,1,0.7053094287201883,0.6082124492383146
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,2,0.6116349657386096,0.5706384582302495
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,3,0.5867886976436502,0.5392551046288888
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,4,0.5545572916666667,0.4953975581844292
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,5,0.5415450581189253,0.489378812593863
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,6,0.5381108199350034,0.48738893886444196
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,7,0.5366439042682984,0.4864323037837434
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,8,0.5357597477763151,0.48589799094139163
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,9,0.5350518167302627,0.48596183906961654
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,10,0.5346136674688002,0.4852039587730946
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,11,0.5343082691620248,0.48528297689031125
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,12,0.5338438993972244,0.48470337277944225
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,13,0.5334098125384338,0.48459463383730916
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,14,0.533018227277629,0.4850032231424108
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,15,0.5328695147321926,0.48514947108664525
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,16,0.5327076747355161,0.48480308893248675
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,17,0.5324002954657002,0.48500559483852723
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,18,0.5322724985705505,0.48533292732260125
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,19,0.5319798349428867,0.4851179733367568
fd002_lstm_v1_stage1_p1_k6_stacked_64x16_l2_seed42,stage1,p1_k6,stacked_64x16_l2,42,20,0.5318055690819979,0.48544234304780065
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,1,0.988333909839638,0.9730998650453191
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,2,0.9689093997953683,0.9698519136587944
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,3,0.9648053426773375,0.967579605647669
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,4,0.9618470339248151,0.9666811125864391
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,5,0.9611458107115245,0.9664941638247688
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,6,0.9608211504397867,0.9673541304927595
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,7,0.9605829999298491,0.9661838514004267
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,8,0.9549847560103425,0.9558544808831541
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,9,0.9387358177583345,0.9440403694892717
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,10,0.926706305517495,0.9343658279639907
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,11,0.9169671239350492,0.9268022304523772
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,12,0.9116205052720164,0.924088189975903
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,13,0.9083510280966909,0.9200437521042338
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,14,0.902462585238354,0.9142856477895615
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,15,0.8964964387986628,0.908198724432377
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,16,0.8913222282484855,0.9044451407330488
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,17,0.8872112843055456,0.8989589835179385
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,18,0.882838323066919,0.8998920604893927
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,19,0.877817709157358,0.8923964161351703
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,20,0.8729474058957627,0.8872134695552832
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,21,0.8701710468396757,0.8851085693030588
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,22,0.8650606601084255,0.8796920010506983
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,23,0.859342786855109,0.8725635381083836
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,24,0.853170679340228,0.8727536373100042
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,25,0.8495596645467155,0.8647429241000499
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,26,0.8487424380967804,0.8757470916651535
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,27,0.8442062111433507,0.8630338045162059
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,28,0.8354875673803405,0.8738759180015547
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,29,0.8367947336242358,0.8556442806333886
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,30,0.82660044827874,0.8490499798088126
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,31,0.8260011953954621,0.8516699016306157
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,32,0.8193357971825944,0.8582916417232209
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,33,0.8208820813880132,0.8469934340812111
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,34,0.8157698635340546,0.8413361837426423
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,35,0.8115771063811474,0.8492404661658117
