run_id,stage,pipeline,architecture_id,seed,parameter_count,epochs_completed,best_epoch,best_monitor_loss,selection_mean_pr_auc,selection_mean_roc_auc,artifact_path,policy_id,policy_semantics,selection_policy,healthy_windows,ambiguous_windows,anomalous_windows,pr_auc,roc_auc
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44,stage2,p0_global,balanced_64x16_l1,44,59045,50,50,0.7936605316429479,0.24004696080690416,0.5234003112704685,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed44.pt,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.22584858426844304,0.5118970223496973
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45,stage2,p0_global,balanced_64x16_l1,45,59045,50,47,0.800865242029446,0.2376384413914121,0.5208251276722767,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45.pt,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.12002509125622515,0.5232868775862626
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45,stage2,p0_global,balanced_64x16_l1,45,59045,50,47,0.800865242029446,0.2376384413914121,0.5208251276722767,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45.pt,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.23467179994807688,0.5175076168418778
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45,stage2,p0_global,balanced_64x16_l1,45,59045,50,47,0.800865242029446,0.2376384413914121,0.5208251276722767,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45.pt,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.08506722824663525,0.5075754451923271
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45,stage2,p0_global,balanced_64x16_l1,45,59045,50,47,0.800865242029446,0.2376384413914121,0.5208251276722767,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45.pt,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.3582184329699342,0.52168088858869
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45,stage2,p0_global,balanced_64x16_l1,45,59045,50,47,0.800865242029446,0.2376384413914121,0.5208251276722767,models\lstm_v2\fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed45.pt,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.22172537818837273,0.5078077528831988
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,stage2,p1_k6,balanced_64x16_l1,43,59045,50,47,0.4806147297430849,0.8096174347354642,0.9507896124673748,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43.pt,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.6463015347566017,0.9605696576871545
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,stage2,p1_k6,balanced_64x16_l1,43,59045,50,47,0.4806147297430849,0.8096174347354642,0.9507896124673748,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43.pt,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.88000307219189,0.9677799169533903
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,stage2,p1_k6,balanced_64x16_l1,43,59045,50,47,0.4806147297430849,0.8096174347354642,0.9507896124673748,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43.pt,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.8957135491978266,0.9940199704889535
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,stage2,p1_k6,balanced_64x16_l1,43,59045,50,47,0.4806147297430849,0.8096174347354642,0.9507896124673748,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43.pt,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9025476972579007,0.9240192627615795
